field_id,field,name,explanation
29,vb.tsmart_city,City,"TargetSmart cleaned, updated city"
30,vb.tsmart_state,State,"TargetSmart cleaned, updated state"
31,vb.tsmart_zip,Zip ,"Cleaned, updated Registration Address Zip Code"
32,vb.tsmart_zip4,Zip +4,"Cleaned, updated Registration Address Zip Code 4-digit extension"
45,vb.tsmart_move_type,Address Type ,"NCOA-sourced flag indicating move type for Individual, Family and Business."
68,vb.vf_county_name,County Name,Name of County
72,vb.vf_township,Township Name,Township name FROM SOURCE
101,vb.tsmart_dma_name,Media Market/ DMA,Descriptive version of Designated Market Area (DMA) geography based on current Address
800,xpg.time_zone,Time Zone,Time Zone of address
