category_id,category,field_id,field,name,explanation
2,Demographics,827,xpg.children_age_13-15_gender,xpg.children_age_13-15_gender,Indicates the gender of the children within the 13-15 age group.
2,Demographics,828,xpg.children_age_16-18,xpg.children_age_16-18,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,829,xpg.children_age_16-18_score,xpg.children_age_16-18_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
2,Demographics,830,xpg.children_age_16-18_gender,xpg.children_age_16-18_gender,Indicates the gender of the children within the 16-18 age group
2,Demographics,1037,xpbb.behaviorbank_active_military,Active Duty Military,Experian Field ID: 7012; Experian Datapoint Match Level: Household; Active military
2,Demographics,1038,xpbb.propensity_active_military_code,xpbb.propensity_active_military_code,"Experian Field ID: 7373; Experian Datapoint Match Level: Household; Z Active Military ; Active Military Prop, Self reported data 8580 Z Active Military indicates a household has self reported as being Active Military. BehaviorBank Household Indicators gr"
2,Demographics,1039,xpbb.behaviorbank_inactive_military,Inactive Military,Experian Field ID: 7013; Experian Datapoint Match Level: Household; Inactive military
2,Demographics,1040,xpbb.propensity_inactive_military_code,xpbb.propensity_inactive_military_code,"Experian Field ID: 7375; Experian Datapoint Match Level: Household; Z Inactive Military ; Inact Military Prop,Self reported data 8581 Z Inactive Military indicates a household has self reported as being Inactive Military. BehaviorBank Household Indicator"
3,Geography,29,vb.tsmart_city,City,"TargetSmart cleaned, updated city"
3,Geography,30,vb.tsmart_state,State,"TargetSmart cleaned, updated state"
3,Geography,31,vb.tsmart_zip,Zip ,"Cleaned, updated Registration Address Zip Code"
3,Geography,32,vb.tsmart_zip4,Zip +4,"Cleaned, updated Registration Address Zip Code 4-digit extension"
3,Geography,45,vb.tsmart_move_type,Address Type ,"NCOA-sourced flag indicating move type for Individual, Family and Business."
3,Geography,68,vb.vf_county_name,County Name,Name of County
3,Geography,72,vb.vf_township,Township Name,Township name FROM SOURCE
3,Geography,101,vb.tsmart_dma_name,Media Market/ DMA,Descriptive version of Designated Market Area (DMA) geography based on current Address
3,Geography,800,xpg.time_zone,Time Zone,Time Zone of address
4,Interests & Consumer Habits,294,vb.license_hunting,Hunting,Indicates that the person has purchased a hunting license
4,Interests & Consumer Habits,295,vb.license_fishing,Fishing,Indicates that the person has purchased a fishing license
4,Interests & Consumer Habits,661,tb.auto1_year,Auto Year,Gives the year of the first automobile of the individual
4,Interests & Consumer Habits,662,tb.auto1_make,Auto Make,Gives the make of the first automobile of the individual
4,Interests & Consumer Habits,663,tb.auto1_model,Auto Model,Gives the model of the first automobile of the individual
4,Interests & Consumer Habits,664,tb.auto2_year,Auto 2 Year,Gives the year of the second automobile of the individual
4,Interests & Consumer Habits,665,tb.auto2_make,Auto 2 Make,Gives the make of the second automobile of the individual
4,Interests & Consumer Habits,666,tb.auto2_model,Auto 2 Model,Gives the model of the second automobile of the individual
4,Interests & Consumer Habits,721,xp.mor_bank_crafts_hobby_merchandise_buyer,Crafts,Direct Mail Purchaser of Craft/Hobby Merchandise
4,Interests & Consumer Habits,722,xp.mor_bank_gardening_farming_buyer,Gardening/ Farming,Direct Mail Purchaser of gardening or farming products
4,Interests & Consumer Habits,723,xp.mor_bank_book_buyer,Books,Direct Mail Purchaser of Books
4,Interests & Consumer Habits,724,xp.mor_bank_collect_special_foods_buyer,Specialty Foods,Direct Mail Purchaser of Special Foods
4,Interests & Consumer Habits,730,xp.mor_bank_religious_magazine,Religious Products,Direct Mail Magaine Purchaser - Religious
4,Interests & Consumer Habits,731,xp.mor_bank_gardening_farming_magazine,Gardening Magazines,Direct Mail Magaine Purchaser - Gardening and Farming
4,Interests & Consumer Habits,732,xp.mor_bank_culinary_interests_magazine,Culinary Magazines,Direct Mail Magaine Purchaser - Culinary Interest
4,Interests & Consumer Habits,733,xp.mor_bank_health_and_fitness_magazine,Health & Fitness Magazines,Direct Mail Magaine Purchaser - Health and Fitness
4,Interests & Consumer Habits,734,xp.mor_bank_do_it_yourselfers,DIY,Do-It-Yourself Mail Order Responsiveness
4,Interests & Consumer Habits,735,xp.mor_bank_news_and_financial,News and Financial Products,News and Financial Mail Order Responsiveness
4,Interests & Consumer Habits,736,xp.mor_bank_photography,Photography,Photography Mail Order Responsiveness
4,Interests & Consumer Habits,738,xp.mor_bank_religious_contributor,Charity- Religious Contributions,Contributor - Religious
4,Interests & Consumer Habits,739,xp.mor_bank_political_contributor,Charity- Political Causes,Contributor - Political
4,Interests & Consumer Habits,740,xp.mor_bank_health_and_institution_contributor,Charity- Health ,Contributor - Health and Institutional
4,Interests & Consumer Habits,741,xp.mor_bank_general_contributor,Charity- General ,Contributor - General
4,Interests & Consumer Habits,834,xpg.mor_bank_crafts_hobby_merchandise_buyer,Craft Buyer,MOR bank (Mail Order Responders) - Crafts and Hobbies Merchandise Buyer. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,835,xpg.mor_bank_gardening_farming_buyer,Gardening/ Farming,MOR bank (Mail Order Responders) - Gardening and Farming Buyer. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,836,xpg.mor_bank_book_buyer,Books,MOR bank (Mail Order Responders) - Book Buyer. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,837,xpg.mor_bank_collect_special_foods_buyer,Specialty Foods Buyer,MOR bank (Mail Order Responders) - Collectibles and Special Foods Buyer. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,842,xpg.mor_bank_male_sports_magazine,Sports Magazine Buyer,MOR bank (Mail Order Responders) - Male and Sports Oriented Magazine. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,843,xpg.mor_bank_religious_magazine,Religious Magazine,MOR bank (Mail Order Responders) - Religious Magazine. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,844,xpg.mor_bank_gardening_farming_magazine,Gardening Magazines,MOR bank (Mail Order Responders) - Gardening and Farming Magazine. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,845,xpg.mor_bank_culinary_interests_magazine,Culinary Magazines,MOR bank (Mail Order Responders) - Culinary Interests Magazine. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,846,xpg.mor_bank_health_and_fitness_magazine,Health & Fitness Magazines,MOR bank (Mail Order Responders) - Health and Fitness Magazine. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,847,xpg.mor_bank_do-it-yourselfers,DIY,MOR bank (Mail Order Responders) - Do-It-Yourself Categories. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,848,xpg.mor_bank_news_and_financial,News and Financial Products,MOR bank (Mail Order Responders) - News and Financial. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,849,xpg.mor_bank_photography,xpg.mor_bank_photography,MOR bank (Mail Order Responders) - Photography. Values show the number of times merchandise in this category was purchased.
4,Interests & Consumer Habits,867,xpg.green_aware,Environmental Purchaser,"GreenAware Segmentation targeting system includes attitudes, opinions, lifestyle, buying behavior, and media usage. Based on the distinctive mindset of consumers towards the environment, we can better understand four distinct consumer segments: 1. Behavi"
