id,field,name
724,xp.mor_bank_collect_special_foods_buyer,Specialty Foods
837,xpg.mor_bank_collect_special_foods_buyer,Specialty Foods Buyer
1021,xpbb.behaviorbank_interest_in_gourmet_cooking,Gourmet Cooking
1130,xpbb.hhacty_intcooking_entertainingcooking,Cooking & Entertaining
1131,xpbb.hhacty_intcooking_entertainingbaking,Baking
1132,xpbb.hhacty_intcooking_entertainingcook_weight_con,Weight Concious
1133,xpbb.hhacty_intcooking_entertainingwine_appreciation,Wine Afficianado
1134,xpbb.hhacty_intcooking_entertainingcooking__gourmet,Gourmet Cooking
1135,xpbb.hhacty_intcooking_entertainingrecipes,Recipes
